1743,32616
2713,35332
1872,38099
1848,31097
1732,39782
634,37820
546,34967
1766,36922
1759,35943
609,33037
1292,36477
304,42789
2373,9226
314,33119
2151,37672
1715,9226
1311,33494
1453,9226
50,42091
241,36963
1070,36256
1961,38679
896,31939
586,37375
823,41260
964,43185
2251,32776
456,35050
1486,44987
2656,33993
1745,9226
1483,9226
1282,42713
2199,31273
2720,43053
1689,42313
679,38478
1486,33094
1556,33274
1708,36297
1197,33341
1728,33731
690,35230
381,31442
960,38474
2681,31555
2634,39845
191,31318
1675,34255
1938,37109
684,34634
911,33859
2769,43453
1396,36560
1282,35492
1205,33582
1411,42318
2113,35420
912,32017
1639,42145
670,35867
1863,38628
1398,39989
1207,43427
16,38268
735,37201
1433,39983
487,31437
517,39193
2167,36006
697,44264
807,38208
733,31089
2522,32972
784,34060
1013,31668
1680,40991
508,44742
998,31545
2123,36084
1915,32937
807,32731
793,39249
937,44855
1467,34467
151,31114
2088,37002
1370,40169
844,32017
1230,14525
937,42761
801,34764
1924,38476
2275,37013
2328,40811
1653,34980
2629,36952
1509,34477
464,36283
1288,35232
628,36125
1689,42931
1245,31371
1789,34652
921,35596
2404,35679
2718,43948
800,31105
2233,35797
1030,37983
1472,38328
931,43639
2056,32902
719,35088
937,36479
951,41258
1118,34016
1474,32897
1582,38846
2243,31947
1355,39621
1428,44795
1996,35453
1531,36814
1140,41130
335,31311
908,38528
1548,37922
2620,36219
2067,44903
1679,37624
794,38399
1729,36398
794,41782
600,32117
1009,37240
1379,36019
691,32235
1200,38528
1200,32112
2404,32780
1970,36460
960,31871
1221,44478
1046,31645
2577,42507
1885,38981
1491,32446
536,38898
2767,43570
2659,31959
260,31086
284,31480
1326,44652
2644,31836
1026,41916
785,32405
1719,33966
1688,42789
260,32025
1486,38868
10,37512
2226,33016
937,40346
402,36804
174,42050
1256,39345
1650,35300
356,41532
146,38312
423,41064
1674,33442
2388,41830
103,31445
1701,38648
2131,31816
260,39730
1646,35716
1639,38709
1400,33997
2742,42708
2329,36123
1360,36261
327,38858
260,31220
364,39679
2402,43956
1430,33997
1717,33273
120,36286
1587,37364
50,34012
2361,34506
2250,43535
2345,44361
2054,39459
430,31789
2179,38407
1929,37478
2772,38921
306,31349
560,41065
2625,38120
1312,34476
109,45330
1706,33649
1282,44433
1200,31791
404,9226
2046,36723
1147,35348
2772,40210
382,41143
1569,35980
1898,34758
1130,39316
208,31164
397,34069
1312,32382
2137,36437
1731,35749
1392,33839
1,44834
352,44125
1020,31981
1661,39891
357,31637
785,36056
2032,35862
688,42539
126,31889
721,35482
1046,39968
50,31113
2515,41873
1102,42529
64,40810
2090,14525
1694,14525
1483,32772
2150,31545
2702,34502
1364,36463
829,32921
2138,35857
2638,37900
1949,36335
1801,37403
1063,31812
667,31812
1835,34543
1329,31931
1055,32860
650,35026
531,31170
2361,43634
876,38752
2204,41176
184,37478
1773,40431
792,40744
1668,35719
1683,31089
2075,33599
2623,32650
1814,34955
197,31674
1628,31567
1542,40683
2328,41592
549,36263
2531,31371
1603,44342
2700,44389
293,35519
1711,40088
1326,33861
773,41791
238,38249
1720,38861
1050,32650
2076,41125
1689,38235
533,32131
188,36792
971,42156
2134,32435
2,44738
470,37444
2183,38743
10,33487
221,40123
458,35340
196,42510
1896,37932
886,38261
345,14525
536,40134
1415,37070
2437,40730
1685,38651
1248,32234
1239,36844
630,33353
599,31788
848,34744
161,31562
1584,35566
384,33297
1225,44493
1706,42322
1472,35510
42,31089
680,33066
371,42110
185,42886
2654,39802
1477,33575
1680,33180
1689,34397
971,44734
622,34000
1766,34617
1198,41515
533,31676
1472,43215
811,41254
1881,35506
456,38811
2,32979
1070,43400
1221,42815
434,40715
106,35022
1539,39714
1800,44185
1356,33591
2253,41686
1059,35290
1864,33997
1631,33237
1178,42337
1486,33822
4,43763
1219,34232
1162,37862
61,41264
603,43533
986,36101
1881,31318
425,31338
162,32456
960,38852
137,41259
975,42358
949,32277
1492,39844
1777,33597
1630,9226
335,31071
2022,31149
1486,44910
1092,36877
1990,38027
1894,31903
1012,36359
1002,41306
1637,39602
1941,33597
217,31173
246,36075
1361,31790
103,31071
1467,31462
2182,36103
2777,37252
786,38648
569,40111
1730,37699
109,31990
2051,42975
702,36476
1152,39156
2437,41698
1948,36057
1411,38858
423,36502
106,36795
2164,39095
637,36431
2008,40245
1212,32232
1366,34362
773,36477
1420,33844
2032,41770
1373,36472
2431,34871
1326,38346
1195,38829
2041,40543
1886,42884
1212,32582
1599,33028
1038,34681
2466,39029
2523,42946
1645,40728
2569,35185
1904,40430
421,33931
388,37955
1527,31812
1616,36765
